"","species","flipper_length_mm"
"1","Adelie Penguin (Pygoscelis adeliae)",181
"2","Adelie Penguin (Pygoscelis adeliae)",186
"3","Adelie Penguin (Pygoscelis adeliae)",195
"4","Adelie Penguin (Pygoscelis adeliae)",193
"5","Adelie Penguin (Pygoscelis adeliae)",190
"6","Adelie Penguin (Pygoscelis adeliae)",181
"7","Adelie Penguin (Pygoscelis adeliae)",195
"8","Adelie Penguin (Pygoscelis adeliae)",193
"9","Adelie Penguin (Pygoscelis adeliae)",190
"10","Adelie Penguin (Pygoscelis adeliae)",186
"11","Adelie Penguin (Pygoscelis adeliae)",180
"12","Adelie Penguin (Pygoscelis adeliae)",182
"13","Adelie Penguin (Pygoscelis adeliae)",191
"14","Adelie Penguin (Pygoscelis adeliae)",198
"15","Adelie Penguin (Pygoscelis adeliae)",185
"16","Adelie Penguin (Pygoscelis adeliae)",195
"17","Adelie Penguin (Pygoscelis adeliae)",197
"18","Adelie Penguin (Pygoscelis adeliae)",184
"19","Adelie Penguin (Pygoscelis adeliae)",194
"20","Adelie Penguin (Pygoscelis adeliae)",174
"21","Adelie Penguin (Pygoscelis adeliae)",180
"22","Adelie Penguin (Pygoscelis adeliae)",189
"23","Adelie Penguin (Pygoscelis adeliae)",185
"24","Adelie Penguin (Pygoscelis adeliae)",180
"25","Adelie Penguin (Pygoscelis adeliae)",187
"26","Adelie Penguin (Pygoscelis adeliae)",183
"27","Adelie Penguin (Pygoscelis adeliae)",187
"28","Adelie Penguin (Pygoscelis adeliae)",172
"29","Adelie Penguin (Pygoscelis adeliae)",180
"30","Adelie Penguin (Pygoscelis adeliae)",178
"31","Adelie Penguin (Pygoscelis adeliae)",178
"32","Adelie Penguin (Pygoscelis adeliae)",188
"33","Adelie Penguin (Pygoscelis adeliae)",184
"34","Adelie Penguin (Pygoscelis adeliae)",195
"35","Adelie Penguin (Pygoscelis adeliae)",196
"36","Adelie Penguin (Pygoscelis adeliae)",190
"37","Adelie Penguin (Pygoscelis adeliae)",180
"38","Adelie Penguin (Pygoscelis adeliae)",181
"39","Adelie Penguin (Pygoscelis adeliae)",184
"40","Adelie Penguin (Pygoscelis adeliae)",182
"41","Adelie Penguin (Pygoscelis adeliae)",195
"42","Adelie Penguin (Pygoscelis adeliae)",186
"43","Adelie Penguin (Pygoscelis adeliae)",196
"44","Adelie Penguin (Pygoscelis adeliae)",185
"45","Adelie Penguin (Pygoscelis adeliae)",190
"46","Adelie Penguin (Pygoscelis adeliae)",182
"47","Adelie Penguin (Pygoscelis adeliae)",179
"48","Adelie Penguin (Pygoscelis adeliae)",190
"49","Adelie Penguin (Pygoscelis adeliae)",191
"50","Adelie Penguin (Pygoscelis adeliae)",186
"51","Adelie Penguin (Pygoscelis adeliae)",188
"52","Adelie Penguin (Pygoscelis adeliae)",190
"53","Adelie Penguin (Pygoscelis adeliae)",200
"54","Adelie Penguin (Pygoscelis adeliae)",187
"55","Adelie Penguin (Pygoscelis adeliae)",191
"56","Adelie Penguin (Pygoscelis adeliae)",186
"57","Adelie Penguin (Pygoscelis adeliae)",193
"58","Adelie Penguin (Pygoscelis adeliae)",181
"59","Adelie Penguin (Pygoscelis adeliae)",194
"60","Adelie Penguin (Pygoscelis adeliae)",185
"61","Adelie Penguin (Pygoscelis adeliae)",195
"62","Adelie Penguin (Pygoscelis adeliae)",185
"63","Adelie Penguin (Pygoscelis adeliae)",192
"64","Adelie Penguin (Pygoscelis adeliae)",184
"65","Adelie Penguin (Pygoscelis adeliae)",192
"66","Adelie Penguin (Pygoscelis adeliae)",195
"67","Adelie Penguin (Pygoscelis adeliae)",188
"68","Adelie Penguin (Pygoscelis adeliae)",190
"69","Adelie Penguin (Pygoscelis adeliae)",198
"70","Adelie Penguin (Pygoscelis adeliae)",190
"71","Adelie Penguin (Pygoscelis adeliae)",190
"72","Adelie Penguin (Pygoscelis adeliae)",196
"73","Adelie Penguin (Pygoscelis adeliae)",197
"74","Adelie Penguin (Pygoscelis adeliae)",190
"75","Adelie Penguin (Pygoscelis adeliae)",195
"76","Adelie Penguin (Pygoscelis adeliae)",191
"77","Adelie Penguin (Pygoscelis adeliae)",184
"78","Adelie Penguin (Pygoscelis adeliae)",187
"79","Adelie Penguin (Pygoscelis adeliae)",195
"80","Adelie Penguin (Pygoscelis adeliae)",189
"81","Adelie Penguin (Pygoscelis adeliae)",196
"82","Adelie Penguin (Pygoscelis adeliae)",187
"83","Adelie Penguin (Pygoscelis adeliae)",193
"84","Adelie Penguin (Pygoscelis adeliae)",191
"85","Adelie Penguin (Pygoscelis adeliae)",194
"86","Adelie Penguin (Pygoscelis adeliae)",190
"87","Adelie Penguin (Pygoscelis adeliae)",189
"88","Adelie Penguin (Pygoscelis adeliae)",189
"89","Adelie Penguin (Pygoscelis adeliae)",190
"90","Adelie Penguin (Pygoscelis adeliae)",202
"91","Adelie Penguin (Pygoscelis adeliae)",205
"92","Adelie Penguin (Pygoscelis adeliae)",185
"93","Adelie Penguin (Pygoscelis adeliae)",186
"94","Adelie Penguin (Pygoscelis adeliae)",187
"95","Adelie Penguin (Pygoscelis adeliae)",208
"96","Adelie Penguin (Pygoscelis adeliae)",190
"97","Adelie Penguin (Pygoscelis adeliae)",196
"98","Adelie Penguin (Pygoscelis adeliae)",178
"99","Adelie Penguin (Pygoscelis adeliae)",192
"100","Adelie Penguin (Pygoscelis adeliae)",192
"101","Adelie Penguin (Pygoscelis adeliae)",203
"102","Adelie Penguin (Pygoscelis adeliae)",183
"103","Adelie Penguin (Pygoscelis adeliae)",190
"104","Adelie Penguin (Pygoscelis adeliae)",193
"105","Adelie Penguin (Pygoscelis adeliae)",184
"106","Adelie Penguin (Pygoscelis adeliae)",199
"107","Adelie Penguin (Pygoscelis adeliae)",190
"108","Adelie Penguin (Pygoscelis adeliae)",181
